date,price,total_volume,market_cap,coin_name,bitcoin_returns,bitcoin_volatility
2015-01-01 00:00:00.000,313.9920000000001,46999364.08867299,4293958347.0000014,bitcoin,0.0021885593049997304,0.6262457066510753
2015-01-02 00:00:00.000,314.446,38855906.30053607,4301448334.7,bitcoin,0.0014458967107440213,0.6262457066510753
2015-01-03 00:00:00.000,286.572,118778941.40912902,3921358112.1,bitcoin,-0.08864479115651025,0.6262457066510753
2015-01-04 00:00:00.000,260.936,205500148.96968707,3571639780.8,bitcoin,-0.08945744873888595,0.6262457066510753
2015-01-05 00:00:00.000,273.22,155038125.45582142,3740880426.5,bitcoin,0.04707667780605229,0.6262457066510753
2015-01-06 00:00:00.000,285.3738000000001,97002895.9764078,3908408221.350001,bitcoin,0.04448356635678219,0.6262457066510753
2015-01-07 00:00:00.000,295.8725,110674232.978753,4053238742.4375,bitcoin,0.03678929179903667,0.6262457066510753
2015-01-08 00:00:00.000,284.4525,86570544.47058573,3897824162.25,bitcoin,-0.03859770678248242,0.6262457066510753
2015-01-09 00:00:00.000,289.5738000000001,83478400.2771182,3968992614.285001,bitcoin,0.01800406043188274,0.6262457066510753
2015-01-10 00:00:00.000,274.533,92683835.63260388,3763909199.925,bitcoin,-0.05194116318534381,0.6262457066510753
2015-01-11 00:00:00.000,267.184,73256737.91089578,3664201453.6,bitcoin,-0.02676909515431658,0.6262457066510753
2015-01-12 00:00:00.000,268.353667700943,78982214.88677162,3681154854.371071,bitcoin,0.004377761022153148,0.6262457066510753
2015-01-13 00:00:00.000,221.436,215752219.9219919,3038251389.3,bitcoin,-0.17483520200375524,0.6262457066510753
2015-01-14 00:00:00.000,172.1479,236006920.8178313,2362639549.8525,bitcoin,-0.22258395202225478,0.6262457066510753
2015-01-15 00:00:00.000,210.5559,257637517.29041365,2890521922.995,bitcoin,0.22311047651467142,0.6262457066510753
2015-01-16 00:00:00.000,205.816,176217465.4940408,2826188131.0,bitcoin,-0.022511361590912493,0.6262457066510753
2015-01-17 00:00:00.000,199.4914,106431481.13147792,2740019366.285,bitcoin,-0.03072938935748437,0.6262457066510753
2015-01-18 00:00:00.000,208.9892,118664232.7276146,2871292169.34,bitcoin,0.047610072414149274,0.6262457066510753
2015-01-19 00:00:00.000,214.545,105545327.33818196,2948379298.875,bitcoin,0.026584148845969047,0.6262457066510753
2015-01-20 00:00:00.000,210.5137,94312137.93638834,2893626589.035,bitcoin,-0.01878999743643517,0.6262457066510753
2015-01-21 00:00:00.000,224.0451,99166469.19882472,3080429686.665,bitcoin,0.06427800185926147,0.6262457066510753
2015-01-22 00:00:00.000,232.0423000000001,151229886.42783546,3191202338.1525016,bitcoin,0.03569459898922189,0.6262457066510753
2015-01-23 00:00:00.000,232.898,126038219.2115576,3203686663.5,bitcoin,0.0036876897014030963,0.6262457066510753
2015-01-24 00:00:00.000,248.096,134933345.06544757,3413521852.0,bitcoin,0.06525603483069853,0.6262457066510753
2015-01-25 00:00:00.000,253.8388999999999,142426844.88892275,3493324595.8274984,bitcoin,0.023147894363471755,0.6262457066510753
2015-01-26 00:00:00.000,271.2882000000001,401755946.5274641,3734336330.640001,bitcoin,0.0687416310108504,0.6262457066510753
2015-01-27 00:00:00.000,259.2356,339951744.7443284,3568728002.06,bitcoin,-0.04442729171412574,0.6262457066510753
2015-01-29 00:00:00.000,232.5329422304941,161971565.54864252,3203612158.433073,bitcoin,-0.10300536565774876,0.6262457066510753
2015-01-30 00:00:00.000,228.6354,105832532.60469384,3150704413.815,bitcoin,-0.01676124764563769,0.6262457066510753
2015-01-31 00:00:00.000,218.0233,92459195.6343594,3005342178.85,bitcoin,-0.04641494711667571,0.6262457066510753
2015-02-01 00:00:00.000,226.2697,100844154.3350744,3119897131.48,bitcoin,0.03782348033444127,1.5504367111651316
2015-02-02 00:00:00.000,240.0193,108043831.20772208,3310466195.25,bitcoin,0.060766421664058434,1.5684843988827377
2015-02-03 00:00:00.000,226.0119,135790231.88905972,3117998019.1275,bitcoin,-0.058359473592331956,1.5517712305190505
2015-02-04 00:00:00.000,225.3083,83155505.15562138,3109175682.095,bitcoin,-0.0031131104158674816,1.5212644054462683
2015-02-05 00:00:00.000,216.9136,74142168.01402433,2994172300.44,bitcoin,-0.03725872504474981,1.5156524095138584
2015-02-06 00:00:00.000,222.4872,88164946.84338237,3072075446.7,bitcoin,0.025695023271938622,1.5094099966439447
2015-02-07 00:00:00.000,227.2050999999999,80694160.19495533,3138151161.072499,bitcoin,0.021205264842201643,1.5049321192281013
2015-02-08 00:00:00.000,222.9061,76979240.31280218,3079497925.3725,bitcoin,-0.018921230201258243,1.5010736799148519
2015-02-09 00:00:00.000,220.0922,79154588.47482522,3041547650.985,bitcoin,-0.012623701190770498,1.4989624488789424
2015-02-10 00:00:00.000,220.6493,66708973.92079521,3049996660.2725,bitcoin,0.002531211919368337,1.4899812146916982
2015-02-11 00:00:00.000,219.0956,65150873.75436823,3029418429.03,bitcoin,-0.007041490727593636,1.4878108896763358
2015-02-12 00:00:00.000,222.0401587875259,51632481.43908263,3070809845.027513,bitcoin,0.01343960712823944,1.4887550211755594
2015-02-13 00:00:00.000,235.6774,137045816.2260813,3260249204.835,bitcoin,0.061417904251833244,1.369347748753407
2015-02-14 00:00:00.000,259.0086000000001,165435433.7487849,3584044452.9300013,bitcoin,0.09899633991210055,1.137607733251801
2015-02-15 00:00:00.000,232.9962,199965387.6619376,3224923703.82,bitcoin,-0.10043064207134478,0.9357083783468646
