date,price,total_volume,market_cap,coin_name
2024-04-28 00:00:00,63517.248743409626,19190483386.063873,1249495302303.4912,bitcoin
2024-04-29 00:00:00,63030.433616681854,16180294651.046635,1240724751365.882,bitcoin
2024-04-30 00:00:00,63797.67963589958,27242983698.21234,1257159131219.0603,bitcoin
2024-05-01 00:00:00,60749.47209216387,39533113322.04938,1197773959985.8767,bitcoin
2024-05-02 00:00:00,58297.574075325494,51109380171.692604,1151677489315.1536,bitcoin
2024-05-03 00:00:00,59135.1733607733,28255509745.49032,1164721402399.166,bitcoin
2024-05-04 00:00:00,62839.34073569376,33591665812.212433,1239817041554.716,bitcoin
2024-05-05 00:00:00,63820.451902924986,20510614461.479218,1257549583083.3145,bitcoin
2024-05-06 00:00:00,64010.00865210892,18115695040.201984,1259667234461.2874,bitcoin
2024-05-07 00:00:00,63172.48129551341,17917770174.27797,1244417948315.7583,bitcoin
2024-05-08 00:00:00,62363.057191718624,19925137720.849453,1229336706399.346,bitcoin
2024-05-09 00:00:00,61215.50400879193,20303831135.373127,1203918522476.5405,bitcoin
2024-05-10 00:00:00,63148.599943097026,25837724247.550426,1240910691253.6274,bitcoin
2024-05-11 00:00:00,60888.21674957157,23987518755.480534,1199393711200.297,bitcoin
2024-05-12 00:00:00,60776.972079172134,12120618802.065384,1197102943502.2341,bitcoin
2024-05-13 00:00:00,61507.054004121346,13045696108.912676,1211277523448.5786,bitcoin
2024-05-14 00:00:00,62878.783300729294,27740460083.601814,1238994152713.125,bitcoin
2024-05-15 00:00:00,61569.1130057734,21581895152.31416,1212998352772.157,bitcoin
2024-05-16 00:00:00,66220.51831432826,38101793065.15294,1307048849176.4167,bitcoin
2024-05-17 00:00:00,65260.879803346186,29114585833.349678,1286278919684.0837,bitcoin
2024-05-18 00:00:00,67053.12326509564,25397793918.993534,1319238394090.13,bitcoin
2024-05-19 00:00:00,66912.61861403697,13025487675.845129,1319928522881.6436,bitcoin
2024-05-20 00:00:00,66252.71259591613,9072734600.009218,1304727108597.6987,bitcoin
2024-05-21 00:00:00,71430.29700215145,35923476641.4359,1406288649446.611,bitcoin
2024-05-22 00:00:00,70189.8358177002,41105056578.01701,1382275470797.567,bitcoin
2024-05-23 00:00:00,69181.20085677762,31059440495.91766,1362228629448.754,bitcoin
